Cod SIRUTA;Numele localitatii;Mediu;Cod judet;Numele localitatii superioare
152047;BABAITA;Rural;TR;BABAITA
152485;BACALESTI;Rural;TR;CALMATUIU DE SUS
152109;BACIU;Rural;TR;BLEJESTI
153847;BADULEASA;Rural;TR;PUTINEIU
152001;BALACI;Rural;TR;BALACI
152546;BALDOVINESTI;Rural;TR;CIOLANESTI
152635;BALTA SARATA;Rural;TR;CRANGENI
153954;BANEASA;Rural;TR;SALCIA
153712;BANOV;Rural;TR;POENI
153650;BARSESTII DE JOS;Rural;TR;PLOPII-SLAVITESTI
153044;BASCOVENI;Rural;TR;GALATENI
153641;BECIU;Rural;TR;PLOPII-SLAVITESTI
154512;BEIU;Rural;TR;STOROBANEASA
153455;BELCIUG;Rural;TR;NECSESTI
152813;BEUCA;Rural;TR;DRACSENEI
152092;BLEJESTI;Rural;TR;BLEJESTI
152136;BOGDANA;Rural;TR;BOGDANA
152181;BOTOROAGA;Rural;TR;BOTOROAGA
152243;BRAGADIRU;Rural;TR;BRAGADIRU
152261;BRANCENI;Rural;TR;BRANCENI
153669;BRANCOVEANCA;Rural;TR;PLOPII-SLAVITESTI
154772;BRATASANI;Rural;TR;TRIVALEA-MOSTENI
154433;BRATCOVU;Rural;TR;STEJARU
153721;BRATESTI;Rural;TR;POENI
154031;BREBINA;Rural;TR;SCRIOASTEA
152145;BROSTEANCA;Rural;TR;BOGDANA
152289;BUJORENI;Rural;TR;BUJORENI
152323;BUJORU;Rural;TR;BUJORU
152430;BUJORU;Rural;TR;CALMATUIU
152010;BURDENI;Rural;TR;BALACI
153990;BUTCULESTI;Rural;TR;SACENI
154246;BUTESTI;Rural;TR;SILISTEA
152341;BUZESCU;Rural;TR;BUZESCU
152369;CALINESTI;Rural;TR;CALINESTI
152421;CALMATUIU;Rural;TR;CALMATUIU
152476;CALMATUIU DE SUS;Rural;TR;CALMATUIU DE SUS
151852;CALOMFIRESTI;Rural;TR;POROSCHIA
152190;CALUGARU;Rural;TR;BOTOROAGA
152449;CARAVANETI;Rural;TR;CALMATUIU
153856;CARLOMANU;Rural;TR;PUTINEIU
153730;CATUNU;Rural;TR;POENI
153357;CERNETU;Rural;TR;MARZANESTI
152519;CERVENIA;Rural;TR;CERVENIA
153883;CETATEA;Rural;TR;RADOIESTI
152537;CIOLANESTII DIN DEAL;Rural;TR;CIOLANESTI
152555;CIOLANESTII DIN VALE;Rural;TR;CIOLANESTI
152608;CIUPERCENI;Rural;TR;COSMESTI
151718;CIUPERCENI;Rural;TR;CIUPERCENI
154004;CIURARI;Rural;TR;SACENI
153080;CIURARI-DEAL;Rural;TR;GRATIA
152056;CLANITA;Rural;TR;BABAITA
152920;COMOARA;Rural;TR;DRAGANESTI-VLASCA
152573;CONTESTI;Rural;TR;CONTESTI
152387;COPACEANCA;Rural;TR;CALINESTI
152591;COSMESTI;Rural;TR;COSMESTI
151923;COSOAIA;Urban;TR;ORAS VIDELE
154889;COSOTENI;Rural;TR;VEDEA
152626;CRANGENI;Rural;TR;CRANGENI
152671;CRANGU;Rural;TR;CRANGU
151941;CREVENICU;Rural;TR;CREVENICU
154040;CUCUETI;Rural;TR;SCRIOASTEA
152298;DARVAS;Rural;TR;BUJORENI
154781;DEPARATI;Rural;TR;TRIVALEA-MOSTENI
152733;DIDESTI;Rural;TR;DIDESTI
154683;DOBRENI;Rural;TR;TATARASTII DE SUS
152779;DOBROTESTI;Rural;TR;DOBROTESTI
152644;DOROBANTU;Rural;TR;CRANGENI
152680;DRACEA;Rural;TR;CRANGU
154095;DRACESTI;Rural;TR;SCURTU MARE
152822;DRACSANI;Rural;TR;DRACSENEI
152804;DRACSENEI;Rural;TR;DRACSENEI
152877;DRAGANESTI DE VEDE;Rural;TR;DRAGANESTI DE VEDE
152911;DRAGANESTI-VLASCA;Rural;TR;DRAGANESTI-VLASCA
153099;DRAGHINESTI;Rural;TR;GRATIA
153678;DUDU;Rural;TR;PLOPII-SLAVITESTI
154898;DULCEANCA;Rural;TR;VEDEA
154816;DULCENI;Rural;TR;TROIANUL
154488;FANTANELE;Rural;TR;SUHAIA
152699;FLORICA;Rural;TR;CRANGU
152065;FRASINET;Rural;TR;BABAITA
153008;FRUMOASA;Rural;TR;FRUMOASA
152957;FURCULESTI;Rural;TR;FURCULESTI
153035;GALATENI;Rural;TR;GALATENI
154950;GARAGAU;Rural;TR;VARTOAPE
153464;GARDESTI;Rural;TR;NECSESTI
153053;GRADISTEANCA;Rural;TR;GALATENI
153071;GRATIA;Rural;TR;GRATIA
154442;GRESIA;Rural;TR;STEJARU
153268;GURUIENI;Rural;TR;MAGURA
152742;INSURATEI;Rural;TR;DIDESTI
152494;IONASCU;Rural;TR;CALMATUIU DE SUS
151745;ISLAZ;Rural;TR;ISLAZ
153115;IZVOARELE;Rural;TR;IZVOARELE
153525;LACENI;Rural;TR;ORBEASCA
154601;LADA;Rural;TR;TATARASTII DE JOS
152396;LICURICIU;Rural;TR;CALINESTI
154549;LINIA COSTII;Rural;TR;TALPA
153133;LISA;Rural;TR;LISA
151772;LITA;Rural;TR;LITA
153927;LUDANEASCA;Rural;TR;RASMIRESTI
153160;LUNCA;Rural;TR;LUNCA
153259;MAGURA;Rural;TR;MAGURA
152886;MAGURA CU LILIAC;Rural;TR;DRAGANESTI DE VEDE
153286;MALDAENI;Rural;TR;MALDAENI
152403;MARITA;Rural;TR;CALINESTI
153348;MARZANESTI;Rural;TR;MARZANESTI
153213;MAVRODIN;Rural;TR;MAVRODIN
153302;MERENII DE JOS;Rural;TR;MERENI
153311;MERENII DE SUS;Rural;TR;MERENI
154905;MERI;Rural;TR;VEDEA
152788;MERISANI;Rural;TR;DOBROTESTI
152074;MERISANI;Rural;TR;BABAITA
151754;MOLDOVENI;Rural;TR;ISLAZ
152966;MOSTENI;Rural;TR;FURCULESTI
153393;MOSTENI;Rural;TR;MOSTENI
151825;NANOV;Rural;TR;NANOV
153419;NASTURELU;Rural;TR;NASTURELU
154157;NAVODARI;Rural;TR;SEACA
153446;NECSESTI;Rural;TR;NECSESTI
154610;NEGRENI;Rural;TR;TATARASTII DE JOS
154629;NEGRENII DE SUS;Rural;TR;TATARASTII DE JOS
154638;NEGRENII-OSEBITI;Rural;TR;TATARASTII DE JOS
154102;NEGRILESTI;Rural;TR;SCURTU MARE
153222;NENCIULESTI;Rural;TR;NENCIULESTI
152458;NICOLAE BALCESCU;Rural;TR;CALMATUIU
154647;OBARTU;Rural;TR;TATARASTII DE JOS
152831;ODOBEASCA;Rural;TR;DRACSENEI
154200;OLTEANCA;Rural;TR;SEGARCEA-VALE
153482;OLTENI;Rural;TR;OLTENI
153516;ORBEASCA DE JOS;Rural;TR;ORBEASCA
153534;ORBEASCA DE SUS;Rural;TR;ORBEASCA
153231;PARU ROTUND;Rural;TR;NENCIULESTI
153017;PAULEASCA;Rural;TR;FRUMOASA
153552;PERETU;Rural;TR;PERETU
153491;PERII BROSTENI;Rural;TR;OLTENI
153570;PIATRA;Rural;TR;PIATRA
153598;PIETROSANI;Rural;TR;PIETROSANI
153179;PLEASOV;Rural;TR;LUNCA
152840;PLOPI;Rural;TR;DRACSENEI
153632;PLOPII-SLAVITESTI;Rural;TR;PLOPII-SLAVITESTI
153614;PLOSCA;Rural;TR;PLOSCA
153703;POENI;Rural;TR;POENI
151727;POIANA;Rural;TR;CIUPERCENI
151843;POROSCHIA;Rural;TR;POROSCHIA
153749;PREAJBA;Rural;TR;POENI
152305;PRUNARU;Rural;TR;BUJORENI
153188;PRUNDU;Rural;TR;LUNCA
154255;PURANI;Rural;TR;SILISTEA
153810;PURANI;Rural;TR;VITANESTI
154264;PURANII DE SUS;Rural;TR;SILISTEA
153838;PUTINEIU;Rural;TR;PUTINEIU
153892;RADOIESTI-DEAL;Rural;TR;RADOIESTI
153874;RADOIESTI-VALE;Rural;TR;RADOIESTI
151950;RADULESTI;Rural;TR;CREVENICU
153918;RASMIRESTI;Rural;TR;RASMIRESTI
151889;ROSIORI DE VEDE;Urban;TR;MUNICIPIUL ROSIORI DE VEDE
154558;ROTARESTI;Rural;TR;TALPA
153981;SACENI;Rural;TR;SACENI
153197;SAELELE;Rural;TR;LUNCA
153945;SALCIA;Rural;TR;SALCIA
154326;SARBENI;Rural;TR;SARBENI
154317;SARBENII DE JOS;Rural;TR;SARBENI
152751;SATU NOU;Rural;TR;DIDESTI
152859;SATUL VECHI;Rural;TR;DRACSENEI
153794;SCHITU POIENARI;Rural;TR;VITANESTI
154022;SCRIOASTEA;Rural;TR;SCRIOASTEA
154077;SCURTU MARE;Rural;TR;SCURTU MARE
154111;SCURTU-SLAVESTI;Rural;TR;SCURTU MARE
